Supercategory,Category,Subcategory,Label,Value,Value Type,Audience,Required,Details,Source URL
Undergraduate,Application Deadlines,Early Decision I,Application Deadline,1-Nov,Date,First-Year,Yes,Binding,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Early Decision I,Notification Release,Late December,Text,First-Year,Yes,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Early Action,Application Deadline,1-Nov,Date,First-Year,No,Non-binding,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Early Action,Notification Release,Mid-January,Text,First-Year,No,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Early Decision II,Application Deadline,15-Jan,Date,First-Year,Yes,Binding,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Early Decision II,Notification Release,Early February,Text,First-Year,Yes,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Regular Decision,Application Deadline,15-Jan,Date,First-Year,No,Final standard round,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Regular Decision,Notification Release,Late March,Text,First-Year,No,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Transfer – Fall Start,Application Deadline,"Rolling, Feb 1 – May 1",Date Range,Transfer,Yes,Rolling deadlines,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Transfer – Fall Start,Notification Release,"Rolling, within 4 weeks",Text,Transfer,Yes,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Transfer – Spring Start,Application Deadline,"Rolling, Sep 1 – Nov 1",Date Range,Transfer,Yes,Rolling deadlines,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Deadlines,Transfer – Spring Start,Notification Release,"Rolling, within 4 weeks",Text,Transfer,Yes,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Admission Requirements,Application Review,Holistic Review,Yes,Boolean,All Applicants,Yes,"Transcript, involvement, recommendations, essays, test scores (optional)",https://clarku.edu/apply
Undergraduate,Admission Requirements,Application Review,High School Transcript,Required,Text,First-Year,Yes,Emphasis on junior and senior year performance,https://clarku.edu/scholarship
Undergraduate,Admission Requirements,Application Review,Counselor Recommendation,Required,Text,All,Yes,Adds personal context; required for all applicants,https://www.clarku.edu/undergraduate-admissions/application-process/
